acc,taxid,title
AB050950.1,142608,"Filibryum ogatae chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds"
AB071411.1,171377,"Mastopoma subfiliferum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete"
AB159651.1,261527,"Thorea gaudichaudii chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd"
AB159659.1,101922,"Nemalionopsis tortuosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete"
AB540047.1,706512,"Gloiopeltis sp. Nomozaki/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, c"
AB540051.1,2824,"Gloiopeltis complanata chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete"
AB540052.1,2824,"Gloiopeltis complanata chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete"
AB853073.1,1401240,"Hypnodontopsis apiculatus chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, compl"
AB853079.1,226498,"Timmiella anomala chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds,"
AB970712.1,2602718,"Clastobryellina orientalis chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp"
AY346095.1,142992,"Acanthorrhynchium papillatum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; ch"
AY858644.1,122832,"Platanus orientalis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast"
AY996366.1,329479,"Spermatochnus paradoxus strain SAG 10.82 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp"
EF547818.1,460917,"Aneura sp. Shaw 702 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast"
EF658643.1,197329,"Laurencia intricata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast"
EU713367.1,519294,"Legousia pentagonia ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast"
FJ438476.1,44745,"Haematococcus pluvialis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chlorop"
KT693213.1,56008,"Hormotilopsis gelatinosa strain UTEX B104 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) mRNA, com"
KU645801.1,3685,"Passiflora quadrangularis voucher K. Hansen s.n. (TEX) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rb"
KU645803.1,13393,"Cananga odorata voucher Chase 219 (NCU) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, compl"
KU645804.1,690726,"Asimina incana voucher Abbott 14200 (FLAS) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, co"
LC060504.1,1665695,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple"
LC060517.1,1664747,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete "
LC145073.1,37406,"Haplomitrium hookeri chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete c"
LC176260.1,324331,"Weisiopsis anomala chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds"
LC200423.1,118073,"Selenastrum capricornutum chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, compl"
LC270392.1,573575,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s"
LC272005.1,2008606,"Fissidens subangustus chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete "
LC376047.1,2136784,"Hattoria yakushimensis NICH:T. Katagiri 4281 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase l"
LC493039.1,2597654,"Colpomenia borea Ru_1 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial c"
LC723702.1,588664,"Schistochila sciurea chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete c"
LC735540.1,48106,"Centella asiatica CA-36-65 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comp"
LC791202.1,2945675,"Pleurozia subinflata NICH: T. Katagiri 4278 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase la"
LC858738.1,349374,"Cyathodium tuberosum PE:L. Luo 769 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun"
LC858740.1,351593,"Cyathodium cavernarum NICH:T.-X. Zheng 17804 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase l"
LC859596.1,991853,"Trichocolea japonica TNS:Osaku s.n. chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu"
LC884819.1,2771,"Cyanidium caldarium SAG16.91 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, co"
LC899187.1,3468572,"Pyropia akasakae UM-AK7 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet"
LC924737.1,3114279,"Conocephalum orientale TNS:MH:257179 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub"
LC924765.1,460671,"Porella ulophylla TNS:MH:257691 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,"
LC924778.1,588640,"Acrolejeunea pusilla TNS:MH:258398 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun"
LC924831.1,3225,"Ceratodon purpureus TNS:MH:256515 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni"
LC924878.1,408845,"Orthotrichum consobrinum TNS:MH:257366 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s"
LC924944.1,2164116,"Pylaisiadelpha yokohamae TNS:MH:256171 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s"
LC924950.1,98943,"Calohypnum plumiforme TNS:MH:256414 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu"
LC924964.1,98946,"Myuroclada maximowiczii TNS:MH:257334 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su"
MG251837.1,2211465,"Hydroclathrus rapanuii voucher SAP115251 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, part"
MH172437.1,165208,"Pectinopitys harmsiana voucher DGK 01.011 (UC) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene"
MH270460.1,640776,"Macleaya microcarpa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast"
MH390671.1,450006,"Quinchamalium chilense voucher D. Nickrent 4503 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen"
MH390672.1,23379,"Schoepfia schreberi voucher D. Nickrent 2599 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, "
MH545292.1,35849,"Batophora occidentalis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloropl"
MH545335.1,2364992,"Halicoryne sp. HV04044 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloropl"
MH616272.1,213819,"Borya sphaerocephala voucher Conran et al. 3046-1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) g"
MH661965.1,176991,"Epiblema grandiflorum isolate CNS_G02236 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp"
MK295219.1,2492840,"Chlorella sp. 64.01 voucher FACHB-752 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complet"
MK295220.1,3072,"Pseudochlorella pringsheimii voucher FACHB-962 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene"
MK806439.1,2304231,"Lepisorus jakonensis voucher C.F. Zhao LZ_8 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, c"
MN030175.1,167744,"Botrypus virginianus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplas"
MN601490.1,2683620,"Clematis sp. DPP-2019a ribulose 1,5-bisphosphate carboxylaseoxygenase large subunit (rbcL) gene, complete cds; chloropla"
MN793055.1,55564,"Chara vulgaris isolate 13 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chlor"
MT439865.1,2725400,"Glomerochrysis psammophila strain CS-1322 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, com"
MW267923.1,35869,"Zygnema circumcarinatum culture SAG:698-1b ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, co"
MW524049.1,239565,"Dryopteris fragrans ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast"
MZ133428.1,51318,"Corbierea radiosa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast"
MZ714562.1,1986525,"Scutellaria indica var. tsusimensis voucher BNT 2021 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL"
