acc,organism,clade,arm
LC899187.1,"Pyropia akasakae UM-AK7 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Red algae,B1_sparse_clade
LC899186.1,"Pyropia akasakae UM-AK2 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Red algae,B1_sparse_clade
LC899185.1,"Pyropia akasakae UM-AK1 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Red algae,B1_sparse_clade
LC859596.1,"Trichocolea japonica TNS:Osaku s.n. chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Liverworts,B1_sparse_clade
LC859595.1,"Trichocolea japonica TNS:Osaku 2409-035 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",Liverworts,B1_sparse_clade
LC859594.1,"Trichocolea japonica TNS:Osaku 2408-029 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",Liverworts,B1_sparse_clade
LC859593.1,"Trichocolea japonica TNS:Osaku 2406-020 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",Liverworts,B1_sparse_clade
LC859592.1,"Trichocolea japonica TNS:M. Higuchi 53740 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase larg",Liverworts,B1_sparse_clade
LC176260.1,"Weisiopsis anomala chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds",Mosses,B1_sparse_clade
AB970712.1,"Clastobryellina orientalis chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Mosses,B1_sparse_clade
AB970711.1,"Clastobryellina orientalis chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Mosses,B1_sparse_clade
AB853079.1,"Timmiella anomala chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds,",Mosses,B1_sparse_clade
AB853073.1,"Hypnodontopsis apiculatus chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Mosses,B1_sparse_clade
LC924964.1,"Myuroclada maximowiczii TNS:MH:257334 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",Mosses,B1_sparse_clade
LC924950.1,"Calohypnum plumiforme TNS:MH:256414 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,B1_sparse_clade
LC924949.1,"Calohypnum plumiforme TNS:MH:258474 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,B1_sparse_clade
LC924948.1,"Calohypnum plumiforme TNS:MH:257329 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,B1_sparse_clade
LC924944.1,"Pylaisiadelpha yokohamae TNS:MH:256171 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924943.1,"Pylaisiadelpha yokohamae TNS:MH:250857 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924942.1,"Pylaisiadelpha yokohamae TNS:MH:258506 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924941.1,"Pylaisiadelpha yokohamae TNS:MH:250882 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924940.1,"Pylaisiadelpha yokohamae TNS:MH:258482 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924939.1,"Pylaisiadelpha yokohamae TNS:MH:258488 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924938.1,"Pylaisiadelpha yokohamae TNS:MH:256087 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924937.1,"Pylaisiadelpha yokohamae TNS:MH:257361 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924936.1,"Pylaisiadelpha yokohamae TNS:MH:257105 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924935.1,"Pylaisiadelpha yokohamae TNS:MH:257393 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924934.1,"Pylaisiadelpha yokohamae TNS:MH:256177 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924933.1,"Pylaisiadelpha yokohamae TNS:MH:256583 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924932.1,"Pylaisiadelpha yokohamae TNS:MH:250870 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924931.1,"Pylaisiadelpha yokohamae TNS:MH:257358 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924930.1,"Pylaisiadelpha yokohamae TNS:MH:253524 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924929.1,"Pylaisiadelpha yokohamae TNS:MH:250843 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924928.1,"Pylaisiadelpha yokohamae TNS:MH:253523 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924927.1,"Pylaisiadelpha yokohamae TNS:MH:256201 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924926.1,"Pylaisiadelpha yokohamae TNS:MH:256477 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924925.1,"Pylaisiadelpha yokohamae TNS:MH:258498 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924924.1,"Pylaisiadelpha yokohamae TNS:MH:258421 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924923.1,"Pylaisiadelpha yokohamae TNS:MH:258478 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924922.1,"Pylaisiadelpha yokohamae TNS:MH:256047 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924921.1,"Pylaisiadelpha yokohamae TNS:MH:253494 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924878.1,"Orthotrichum consobrinum TNS:MH:257366 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924877.1,"Orthotrichum consobrinum TNS:MH:256188 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B1_sparse_clade
LC924831.1,"Ceratodon purpureus TNS:MH:256515 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",Mosses,B1_sparse_clade
LC924830.1,"Ceratodon purpureus TNS:MH:256186 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",Mosses,B1_sparse_clade
LC924778.1,"Acrolejeunea pusilla TNS:MH:258398 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B1_sparse_clade
LC924777.1,"Acrolejeunea pusilla TNS:MH:257339 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B1_sparse_clade
LC924776.1,"Acrolejeunea pusilla TNS:MH:256191 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B1_sparse_clade
LC924775.1,"Acrolejeunea pusilla TNS:MH:256328 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B1_sparse_clade
LC924774.1,"Acrolejeunea pusilla TNS:MH:256347 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B1_sparse_clade
LC924773.1,"Acrolejeunea pusilla TNS:MH:256339 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B1_sparse_clade
LC924765.1,"Porella ulophylla TNS:MH:257691 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",Liverworts,B1_sparse_clade
LC924764.1,"Porella ulophylla TNS:MH:257362 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",Liverworts,B1_sparse_clade
LC924763.1,"Porella ulophylla TNS:MH:256196 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",Liverworts,B1_sparse_clade
LC924737.1,"Conocephalum orientale TNS:MH:257179 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B1_sparse_clade
LC924736.1,"Conocephalum orientale TNS:MH:256384 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B1_sparse_clade
LC924735.1,"Conocephalum orientale TNS:MH:256373 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B1_sparse_clade
LC924734.1,"Conocephalum orientale TNS:MH:256354 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B1_sparse_clade
LC924733.1,"Conocephalum orientale TNS:MH:256342 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B1_sparse_clade
