arm,acc,taxid,organism,clade,slen,heldout_donor_species
B1_sparse_clade,PZ367540.1,3707695,"Halamphora venetoides isolate CMCC024 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial",Diatoms,1414,False
B1_sparse_clade,PZ367539.1,3707694,"Halamphora stoermeri isolate CMCC019 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial ",Diatoms,1431,False
B1_sparse_clade,PZ367537.1,1487566,"Halamphora coloradiana isolate CMCC025 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partia",Diatoms,1407,False
B1_sparse_clade,PZ367536.1,3707692,"Halamphora sp. T79700-1 isolate CMCC017 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Diatoms,1431,False
B1_sparse_clade,PZ367535.1,2305497,"Halamphora americana isolate CMCC016 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial ",Diatoms,1431,False
B1_sparse_clade,PZ324964.1,371681,"Skeletonema grevillei strain CNS00443 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complet",Diatoms,1473,False
B1_sparse_clade,PZ246810.1,216823,"Skeletonema menzelii strain CNS01317 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete",Diatoms,1473,False
B1_sparse_clade,PZ246809.1,3736300,"Skeletonema sp. T81661-1 strain CNS01016 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,PZ246808.1,41457,"Skeletonema pseudocostatum strain CNS00448 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, co",Diatoms,1473,False
B1_sparse_clade,PZ246807.1,371681,"Skeletonema grevillei strain CNS00438 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complet",Diatoms,1473,False
B1_sparse_clade,PZ246806.1,267567,"Skeletonema marinoi strain CNS00100 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete ",Diatoms,1473,False
B1_sparse_clade,PZ246805.1,2843,"Skeletonema costatum strain CNS00243 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete",Diatoms,1473,False
B1_sparse_clade,PZ246804.1,41457,"Skeletonema pseudocostatum strain CNS00342 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, co",Diatoms,1473,False
B1_sparse_clade,PZ246803.1,267982,"Skeletonema tropicum strain CNS00166 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete",Diatoms,1473,False
