clade,matches_corpus_query,in_our_corpus,retrieved_frac,cause
eudicots,6462,848,0.131,partially retrieved (cap + dedup + QC)
red algae,2338,84,0.036,partially retrieved (cap + dedup + QC)
diatoms,1266,0,0.0,RETMAX=8000 ordering cap (RETRIEVABLE — recoverable)
mosses,780,319,0.409,partially retrieved (cap + dedup + QC)
lycophytes,32,0,0.0,RETMAX=8000 ordering cap (RETRIEVABLE — recoverable)
cycads,13,0,0.0,RETMAX=8000 ordering cap (RETRIEVABLE — recoverable)
gnetophytes,5,0,0.0,RETMAX=8000 ordering cap (RETRIEVABLE — recoverable)
ginkgo,5,0,0.0,RETMAX=8000 ordering cap (RETRIEVABLE — recoverable)
glaucophytes,3,0,0.0,RETMAX=8000 ordering cap (RETRIEVABLE — recoverable)
hornworts,2,0,0.0,RETMAX=8000 ordering cap (RETRIEVABLE — recoverable)
haptophytes,2,0,0.0,RETMAX=8000 ordering cap (RETRIEVABLE — recoverable)
horsetails,0,0,,not in NCBI under this query (biology/annotation)
euglenids,0,0,,not in NCBI under this query (biology/annotation)
cryptophytes,0,0,,not in NCBI under this query (biology/annotation)
