tax_group,L0_shared_seed,L1_donor_90,L2_donor_210,L3_donor_450,L4_donor_900,delta_L0_L1,n_per_level
Brown algae,1.0000,0.0000,0.5714,0.9524,0.8095,-1.0000,21
Other green,1.0000,0.0000,1.0000,0.8333,1.0000,-1.0000,6
Red algae,0.9697,0.0000,0.5758,0.9697,1.0000,-0.9697,33
Green algae,0.9667,0.0000,0.6667,1.0000,0.9667,-0.9667,30
SAR/other protist,1.0000,0.0909,0.6970,1.0000,0.9394,-0.9091,33
Mosses,0.9524,0.1667,1.0000,1.0000,1.0000,-0.7857,42
Ferns,1.0000,0.7333,0.9333,0.9333,1.0000,-0.2667,15
Liverworts,0.9091,0.6970,0.8788,0.9697,1.0000,-0.2121,33
Conifers,1.0000,0.8333,1.0000,1.0000,1.0000,-0.1667,6
Monocots,1.0000,0.9091,1.0000,1.0000,1.0000,-0.0909,33
Eudicots,0.9877,0.9012,0.9877,0.9877,1.0000,-0.0864,81
Other angiosperms,0.9259,0.9630,0.8519,1.0000,1.0000,0.0370,27
