tax_group,L0_shared_seed,L1_donor_90,L2_donor_210,L3_donor_450,L4_donor_900
Brown algae,1.0000,0.1429,0.5714,1.0000,1.0000
Conifers,1.0000,1.0000,1.0000,1.0000,1.0000
Eudicots,1.0000,0.8519,1.0000,0.9630,1.0000
Ferns,1.0000,0.6000,1.0000,1.0000,1.0000
Green algae,1.0000,0.0000,0.8000,1.0000,1.0000
Liverworts,0.9091,0.7273,0.8182,0.9091,1.0000
Monocots,1.0000,0.9091,1.0000,1.0000,1.0000
Mosses,1.0000,0.0714,1.0000,1.0000,1.0000
Other angiosperms,1.0000,1.0000,0.8889,1.0000,1.0000
Other green,1.0000,0.0000,1.0000,0.5000,1.0000
Red algae,1.0000,0.0000,0.6364,0.9091,0.9091
SAR/other protist,1.0000,0.1818,0.6364,1.0000,0.9091
