acc,taxid,title,slen
NC_000834.1,7739,"Branchiostoma floridae mitochondrion, complete genome",15083
NC_000844.1,6669,"Daphnia pulex mitochondrion, complete genome",15333
NC_000846.1,8797,"Rhea americana mitochondrion, complete genome",16714
NC_000857.1,7213,"Ceratitis capitata mitochondrion, complete genome",15980
NC_000860.1,8038,"Salvelinus fontinalis mitochondrion, complete genome",16624
NC_000861.1,8036,"Salvelinus alpinus mitochondrion, complete genome",16659
NC_000862.1,5908,"Tetrahymena pyriformis mitochondrion, complete genome",47296
NC_000875.1,42377,"Anopheles quadrimaculatus A mitochondrion, complete genome",15455
NC_000877.1,30385,"Aythya americana mitochondrion, complete genome",16616
NC_000878.1,8954,"Falco peregrinus mitochondrion, complete genome",18068
NC_000879.1,81930,"Smithornis sharpei mitochondrion, complete genome",17344
NC_000880.1,81927,"Vidua chalybeata mitochondrion, complete genome",16895
NC_000884.1,10141,"Cavia porcellus mitochondrion, complete genome",16801
NC_000886.1,8469,"Chelonia mydas mitochondrion, complete genome",16497
NC_000887.3,45157,"Cyanidioschyzon merolae mitochondrion, complete genome",32211
NC_000888.1,463521,"Plestiodon egregius mitochondrion, complete genome",17407
NC_000889.1,9833,"Hippopotamus amphibius mitochondrion, complete genome",16407
NC_000890.1,79736,"Mustelus manazo mitochondrion, complete genome",16707
NC_000891.1,9258,"Ornithorhynchus anatinus mitochondrion, complete genome",17019
NC_000892.1,3159,"Pedinomonas minor mitochondrion, complete genome",25137
NC_000893.1,386614,"Amblyraja radiata mitochondrion, complete genome",16783
NC_000894.1,5689,"Leishmania tarentolae kinetoplast, complete genome",20992
NC_000895.1,44689,"Dictyostelium discoideum mitochondrion, complete genome",55564
NC_000925.1,2787,"Porphyra purpurea chloroplast, complete genome",191028
NC_000926.1,55529,"Guillardia theta chloroplast, complete genome",121524
NC_000927.1,31312,"Nephroselmis olivacea chloroplast, complete genome",200799
NC_000928.2,6211,"Echinococcus multilocularis mitochondrion, complete genome",13738
NC_000931.1,6359,"Platynereis dumerilii mitochondrion, complete genome",15619
NC_000932.1,3702,"Arabidopsis thaliana chloroplast, complete genome",154478
NC_000933.1,6116,"Metridium senile mitochondrion, complete genome",17443
NC_000934.1,9785,"Loxodonta africana mitochondrion, complete genome",16866
NC_000941.1,7580,"Terebratulina retusa mitochondrion, complete genome",15451
NC_000946.1,33653,"Cafeteria roenbergensis mitochondrion, complete genome",43159
NC_001131.1,7748,"Lampetra fluviatilis mitochondrion, complete genome",16159
