acc,taxid,organism,clade,taxon,slen
OP237583.1,224184,"Suaeda paradoxa isolate p5-1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237582.1,224172,"Suaeda linifolia isolate p4-1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237581.1,224146,"Kalidium foliatum isolate p3-1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237580.1,2184446,"Baolia bracteata isolate p2-7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237579.1,2184446,"Baolia bracteata isolate p2-6 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237578.1,2184446,"Baolia bracteata isolate p2-5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237577.1,2184446,"Baolia bracteata isolate p2-4 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237576.1,2184446,"Baolia bracteata isolate p2-3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237575.1,2184446,"Baolia bracteata isolate p2-2 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237574.1,2184446,"Baolia bracteata isolate p2-1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237573.1,2184446,"Baolia bracteata isolate p1-9 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
