prompt_id,donor_acc,tax_group,arm,full_length,read_through,cds_len_recomputed,containment_own_corpus
AB050950.1_L1_donor_90_r0,AB050950.1,Mosses,all_fullcds,True,False,1428.0000,1.0000
AB071411.1_L1_donor_90_r0,AB071411.1,Mosses,all_fullcds,True,False,1428.0000,0.9986
AB159651.1_L1_donor_90_r0,AB159651.1,Red algae,all_fullcds,True,False,1467.0000,0.6852
AB159659.1_L1_donor_90_r0,AB159659.1,Red algae,all_fullcds,True,False,1467.0000,0.4972
AB540047.1_L1_donor_90_r0,AB540047.1,Red algae,all_fullcds,True,False,1467.0000,0.8767
AB540051.1_L1_donor_90_r0,AB540051.1,Red algae,all_fullcds,True,False,1467.0000,0.8322
AB540052.1_L1_donor_90_r0,AB540052.1,Red algae,all_fullcds,True,False,1467.0000,0.8238
AB853073.1_L1_donor_90_r0,AB853073.1,Mosses,all_fullcds,True,False,1428.0000,0.9427
AB853079.1_L1_donor_90_r0,AB853079.1,Mosses,all_fullcds,True,False,1428.0000,1.0000
AB970712.1_L1_donor_90_r0,AB970712.1,Mosses,all_fullcds,True,False,1428.0000,0.9599
AY346095.1_L1_donor_90_r0,AY346095.1,Mosses,all_fullcds,True,False,1428.0000,0.9835
AY858644.1_L1_donor_90_r0,AY858644.1,Other angiosperms,all_fullcds,True,False,1428.0000,0.9771
AY996366.1_L1_donor_90_r0,AY996366.1,Brown algae,all_fullcds,True,False,1467.0000,0.8189
EF547818.1_L1_donor_90_r0,EF547818.1,Liverworts,all_fullcds,True,False,1428.0000,0.6285
EF658643.1_L1_donor_90_r0,EF658643.1,Red algae,all_fullcds,True,False,1467.0000,0.7960
EU713367.1_L1_donor_90_r0,EU713367.1,Eudicots,all_fullcds,True,False,1428.0000,0.7910
FJ438476.1_L1_donor_90_r0,FJ438476.1,Green algae,all_fullcds,True,False,1428.0000,0.5061
KT693213.1_L1_donor_90_r0,KT693213.1,Green algae,all_fullcds,True,False,1428.0000,0.4209
KU645801.1_L1_donor_90_r0,KU645801.1,Eudicots,all_fullcds,True,False,1428.0000,0.9513
KU645803.1_L1_donor_90_r0,KU645803.1,Other angiosperms,all_fullcds,True,False,1428.0000,1.0000
KU645804.1_L1_donor_90_r0,KU645804.1,Other angiosperms,all_fullcds,True,False,1443.0000,0.9745
LC060504.1_L1_donor_90_r0,LC060504.1,Brown algae,all_fullcds,True,False,1467.0000,0.8858
