acc,clade,organism,raw_len,has_cds,codon_start,recovered,cds_len,naive_mod3,naive_stops,cds_mod3,cds_stops,naive_ok,cds_ok
PX743744,ANA-grade,"UNVERIFIED: Illicium macranthum voucher CPG24322 rbcL gene, partial sequence; chloroplast",1449,False,0,True,1449,0,0,0,0,True,True
PX743743,ANA-grade,"UNVERIFIED: Schisandra sphaerandra voucher CPG14641 rbcL gene, partial sequence; chloroplast",1449,False,0,True,1449,0,0,0,0,True,True
PX743742,ANA-grade,"UNVERIFIED: Schisandra incarnata voucher CPG11127 rbcL gene, partial sequence; chloroplast",1428,False,0,True,1428,0,0,0,0,True,True
AF121367,ANA-grade,"Trimenia moorei ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1401,True,2,False,1398,0,38,0,0,False,True
MH270453,ANA-grade,"Schisandra henryi ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",1428,True,1,False,1428,0,0,0,0,True,True
MH270452,ANA-grade,"Schisandra henryi ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",1428,True,1,False,1428,0,0,0,0,True,True
DQ182338,ANA-grade,"Nuphar lutea ribulose-1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",1409,True,3,False,1392,2,16,0,0,False,True
DQ182334,ANA-grade,"Illicium floridanum ribulose-1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",1417,True,2,False,1392,1,44,0,0,False,True
DQ069501,ANA-grade,"Nuphar advena ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1425,True,1,False,1425,0,0,0,0,True,True
AY858645,ANA-grade,"Victoria amazonica ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",1484,True,1,False,1428,2,2,0,0,False,True
L12665,ANA-grade,"Schisandra sphenanthera ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast gene f",1400,True,3,False,1398,2,21,0,0,False,True
L12652,ANA-grade,"Illicium parviflorum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast gene for ",1400,True,3,False,1398,2,20,0,0,False,True
L12632,ANA-grade,"Austrobaileya scandens ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast gene fo",1400,True,3,False,1398,2,21,0,0,False,True
L12628,ANA-grade,"Amborella trichopoda ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast gene for ",1400,True,3,False,1398,2,22,0,0,False,True
AF238061,ANA-grade,"Schisandra chinensis ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast gene for ",1440,True,2,False,1401,0,44,0,0,False,True
HQ592339,ANA-grade,"Nymphaea rubra isolate NyrC1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chl",1401,True,1,False,1401,0,0,0,0,True,True
HQ592338,ANA-grade,"Nymphaea pubescens isolate NypP1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds;",1401,True,1,False,1401,0,0,0,0,True,True
HQ592337,ANA-grade,"Nymphaea alba var. rubra isolate NyaM1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partia",1402,True,2,False,1401,1,43,0,0,False,True
HQ592336,ANA-grade,"Nymphaea alba var. rubra isolate NyaS1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partia",1402,True,2,False,1401,1,43,0,0,False,True
HM543462,ANA-grade,"Nymphaea nouchali isolate NynwP1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds;",1401,True,1,False,1401,0,0,0,0,True,True
GQ468660,ANA-grade,"Nymphaea caerulea isolate NycW1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ",1402,True,2,False,1401,1,44,0,0,False,True
GQ358628,ANA-grade,"Nymphaea x marliacea isolate NymM1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cd",1401,True,1,False,1401,0,0,0,0,True,True
GQ358627,ANA-grade,"Nymphaea alba var. rubra isolate NyaW1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partia",1401,True,1,False,1401,0,0,0,0,True,True
FJ597750,ANA-grade,"Nymphaea tetragona isolate E1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",1401,True,1,False,1401,0,0,0,0,True,True
FJ597749,ANA-grade,"Nymphaea rubra isolate D1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloro",1401,True,1,False,1401,0,0,0,0,True,True
FJ597748,ANA-grade,"Nymphaea pubescens isolate H1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",1401,True,1,False,1401,0,0,0,0,True,True
FJ597747,ANA-grade,"Nymphaea nouchali isolate C1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chl",1401,True,1,False,1401,0,0,0,0,True,True
FJ597746,ANA-grade,"Nymphaea nouchali isolate G1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chl",1401,True,1,False,1401,0,0,0,0,True,True
LC870529,Brown algae,"Asterocladon interjectum Banda chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, ",1420,True,2,False,1419,1,43,0,0,False,True
LC870527,Brown algae,"Asterocladon iriomotense Haemita chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",1467,True,1,False,1467,0,0,0,0,True,True
LC870526,Brown algae,"Asterocladon breviarticulatum Bise chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",1457,True,3,False,1455,2,34,0,0,False,True
LC794351,Brown algae,"Sporochnus radiciformis NSW:482827 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",1403,True,3,False,1401,2,30,0,0,False,True
LC794350,Brown algae,"Sporochnus moorei NSW:714091 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, pa",1406,True,3,False,1404,2,30,0,0,False,True
LC794349,Brown algae,"Sporochnus keyari chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial cds",1402,True,2,False,1401,1,52,0,0,False,True
LC794348,Brown algae,"Sporochnus elsieae NSW:714059 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1403,True,3,False,1401,2,31,0,0,False,True
LC794347,Brown algae,"Sporochnus comosus chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial cds",1406,True,3,False,1404,2,31,0,0,False,True
LC794346,Brown algae,"Sporochnus anomalus KU-MACC:KU-1308 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",1404,True,1,False,1404,0,0,0,0,True,True
LC794345,Brown algae,"Perithalia caudata KU-MACC:KU-1158 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",1426,True,2,False,1425,1,52,0,0,False,True
LC811795,Brown algae,"Sporochnus keyari KU-d25936 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1402,True,2,False,1401,1,52,0,0,False,True
LC811793,Brown algae,"Sporochnus keyari KU-d25934 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1402,True,2,False,1401,1,52,0,0,False,True
LC811792,Brown algae,"Sporochnus keyari KU-d25922 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1402,True,2,False,1401,1,52,0,0,False,True
LC811791,Brown algae,"Sporochnus keyari KU-d25927 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1402,True,2,False,1401,1,52,0,0,False,True
PV575331,Brown algae,"Dictyota coriacea voucher D09 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",1407,True,1,False,1407,0,0,0,0,True,True
