prompt_id,tax_group,ft_containment,ft_full_length,ft_cds_len,base_containment,base_full_length
AB050950.1_L1_donor_90_r0,Mosses,1.0000,True,1428.0000,0.2500,False
AB071411.1_L1_donor_90_r0,Mosses,1.0000,True,1428.0000,0.0491,False
AB159651.1_L1_donor_90_r0,Red algae,0.3336,True,1467.0000,0.0438,False
AB159659.1_L1_donor_90_r0,Red algae,0.5522,True,1467.0000,,
AB540047.1_L1_donor_90_r0,Red algae,0.8879,True,1467.0000,0.0591,False
AB540051.1_L1_donor_90_r0,Red algae,0.8496,True,1467.0000,0.1842,False
AB540052.1_L1_donor_90_r0,Red algae,0.4547,True,1467.0000,0.1793,False
AB853073.1_L1_donor_90_r0,Mosses,0.9435,True,1428.0000,0.0564,False
AB853079.1_L1_donor_90_r0,Mosses,0.9957,True,1428.0000,0.6622,True
AB970712.1_L1_donor_90_r0,Mosses,0.9871,True,1428.0000,0.0495,False
AY346095.1_L1_donor_90_r0,Mosses,0.9571,True,1428.0000,,
AY858644.1_L1_donor_90_r0,Other angiosperms,0.9628,True,1428.0000,0.9370,True
AY996366.1_L1_donor_90_r0,Brown algae,0.9123,True,1467.0000,0.1369,False
EF547818.1_L1_donor_90_r0,Liverworts,0.8633,True,1428.0000,0.8440,True
EF658643.1_L1_donor_90_r0,Red algae,0.5327,True,1467.0000,0.2377,False
EU713367.1_L1_donor_90_r0,Eudicots,0.7304,True,1437.0000,0.2305,True
FJ438476.1_L1_donor_90_r0,Green algae,0.4417,True,1428.0000,0.0137,False
KT693213.1_L1_donor_90_r0,Green algae,0.2921,True,1428.0000,0.0000,False
KU645801.1_L1_donor_90_r0,Eudicots,0.9506,True,1428.0000,0.9313,True
KU645803.1_L1_donor_90_r0,Other angiosperms,1.0000,True,1440.0000,0.9456,True
KU645804.1_L1_donor_90_r0,Other angiosperms,0.9120,True,1428.0000,0.9435,True
LC060504.1_L1_donor_90_r0,Brown algae,0.8948,True,1467.0000,0.0636,False
LC060517.1_L1_donor_90_r0,Brown algae,0.9053,True,1467.0000,,
LC145073.1_L1_donor_90_r0,Liverworts,0.3157,True,1428.0000,0.0009,False
LC176260.1_L1_donor_90_r0,Mosses,0.9928,True,1428.0000,0.3533,False
LC200423.1_L1_donor_90_r0,Green algae,0.4796,True,1428.0000,0.0029,False
LC270392.1_L1_donor_90_r0,Mosses,0.9635,True,1428.0000,0.1793,False
LC272005.1_L1_donor_90_r0,Mosses,0.9921,True,1428.0000,0.4504,False
LC376047.1_L1_donor_90_r0,Liverworts,0.9098,True,1428.0000,0.6507,True
LC493039.1_L1_donor_90_r0,Brown algae,0.9582,True,1467.0000,0.0393,True
LC723702.1_L1_donor_90_r0,Liverworts,0.8611,True,1428.0000,0.9470,True
LC735540.1_L1_donor_90_r0,Eudicots,1.0000,True,1428.0000,0.9520,True
LC791202.1_L1_donor_90_r0,Liverworts,0.8432,True,1428.0000,0.0625,False
LC858738.1_L1_donor_90_r0,Liverworts,0.8661,True,1428.0000,0.6263,True
LC858740.1_L1_donor_90_r0,Liverworts,0.9098,True,1428.0000,0.7158,True
LC859596.1_L1_donor_90_r0,Liverworts,0.8840,True,1428.0000,0.1454,True
LC884819.1_L1_donor_90_r0,Red algae,0.3830,True,1467.0000,0.0000,False
LC899187.1_L1_donor_90_r0,Red algae,0.6226,True,1467.0000,0.1398,False
LC924737.1_L1_donor_90_r0,Liverworts,0.9084,True,1428.0000,0.8712,True
