acc,taxid,slen,organelle_class
NC_000834.1,7739,15083,mitochondrion
NC_000844.1,6669,15333,mitochondrion
NC_000846.1,8797,16714,mitochondrion
NC_000857.1,7213,15980,mitochondrion
NC_000860.1,8038,16624,mitochondrion
NC_000861.1,8036,16659,mitochondrion
NC_000862.1,5908,47296,mitochondrion
NC_000875.1,42377,15455,mitochondrion
NC_000877.1,30385,16616,mitochondrion
NC_000878.1,8954,18068,mitochondrion
NC_000879.1,81930,17344,mitochondrion
NC_000880.1,81927,16895,mitochondrion
NC_000884.1,10141,16801,mitochondrion
NC_000886.1,8469,16497,mitochondrion
NC_000887.3,45157,32211,mitochondrion
NC_000888.1,463521,17407,mitochondrion
NC_000889.1,9833,16407,mitochondrion
NC_000890.1,79736,16707,mitochondrion
NC_000891.1,9258,17019,mitochondrion
NC_000892.1,3159,25137,mitochondrion
NC_000893.1,386614,16783,mitochondrion
NC_000894.1,5689,20992,mitochondrion
NC_000895.1,44689,55564,mitochondrion
NC_000925.1,2787,191028,photosynthetic plastid
NC_000926.1,55529,121524,photosynthetic plastid
NC_000927.1,31312,200799,photosynthetic plastid
NC_000928.2,6211,13738,mitochondrion
NC_000931.1,6359,15619,mitochondrion
NC_000932.1,3702,154478,photosynthetic plastid
NC_000933.1,6116,17443,mitochondrion
NC_000934.1,9785,16866,mitochondrion
NC_000941.1,7580,15451,mitochondrion
NC_000946.1,33653,43159,mitochondrion
NC_001131.1,7748,16159,mitochondrion
NC_001276.1,29159,18224,mitochondrion
NC_001319.1,56867,121024,photosynthetic plastid
NC_001320.1,39947,134525,photosynthetic plastid
NC_001321.1,9770,16398,mitochondrion
NC_001322.1,7245,16019,mitochondrion
NC_001324.2,5889,40469,mitochondrion
NC_001325.1,9720,16826,mitochondrion
NC_001327.1,6253,14284,mitochondrion
NC_001328.1,6239,13794,mitochondrion
NC_001329.3,2587412,100314,mitochondrion
NC_001453.1,7668,15650,mitochondrion
NC_001568.1,4177,70028,photosynthetic plastid
NC_001572.1,7656,15696,mitochondrion
NC_001573.1,8355,17553,mitochondrion
NC_001601.1,9771,16402,mitochondrion
NC_001602.1,9711,16797,mitochondrion
NC_001603.2,3039,143171,photosynthetic plastid
NC_001606.1,7962,16575,mitochondrion
NC_001610.1,9267,17084,mitochondrion
NC_001613.1,3111,55328,mitochondrion
NC_001620.1,6661,15822,mitochondrion
NC_001626.1,7757,16201,mitochondrion
NC_001627.1,7594,16260,mitochondrion
NC_001631.1,3350,119707,photosynthetic plastid
NC_001636.1,34587,15532,mitochondrion
NC_001637.1,5755,41591,mitochondrion
NC_001638.1,3055,15758,mitochondrion
NC_001640.1,9796,16660,mitochondrion
NC_001643.1,9598,16554,mitochondrion
NC_001644.1,9597,16563,mitochondrion
NC_001646.1,9600,16389,mitochondrion
NC_001660.1,56867,186609,mitochondrion
NC_001665.2,10116,16313,mitochondrion
NC_001666.2,4577,140384,photosynthetic plastid
NC_001673.1,6398,14998,mitochondrion
NC_001675.1,2762,135599,photosynthetic plastid
NC_001677.2,2769,25836,mitochondrion
NC_001700.1,9685,17009,mitochondrion
NC_001708.1,27779,16646,mitochondrion
NC_001713.1,1514140,119704,photosynthetic plastid
NC_001715.1,28583,57473,mitochondrion
NC_001717.1,8022,16642,mitochondrion
NC_001727.1,7980,16558,mitochondrion
NC_001761.1,42349,14130,mitochondrion
NC_001762.1,1156965,27694,mitochondrion
NC_001778.1,49895,16624,mitochondrion
NC_001779.1,9809,16829,mitochondrion
NC_001788.1,9793,16670,mitochondrion
NC_001794.1,9319,16896,mitochondrion
NC_001799.1,383379,34996,apicoplast (rbcL-less)
NC_001804.1,7897,16407,mitochondrion
NC_001808.1,9807,16832,mitochondrion
NC_001821.1,9361,17056,mitochondrion
NC_001823.1,48483,69034,mitochondrion
NC_001840.1,2771,164921,photosynthetic plastid
NC_001861.1,6282,13747,mitochondrion
NC_001865.1,3077,150613,photosynthetic plastid
NC_001872.1,3054,22897,mitochondrion
NC_001878.1,73431,16005,mitochondrion
NC_001879.2,4097,155943,photosynthetic plastid
NC_001887.1,35080,15708,mitochondrion
NC_001892.1,41261,16602,mitochondrion
NC_001912.1,7740,15076,mitochondrion
NC_001913.1,9986,17245,mitochondrion
NC_001922.1,8496,16646,mitochondrion
NC_001941.1,9940,16616,mitochondrion
NC_001945.1,56549,17191,mitochondrion
NC_001947.1,44522,16787,mitochondrion
NC_001950.1,7830,16697,mitochondrion
NC_001960.1,8030,16665,mitochondrion
NC_001992.1,9557,16521,mitochondrion
NC_002007.1,2787,36753,mitochondrion
NC_002008.4,9615,16727,mitochondrion
NC_002009.1,9417,16651,mitochondrion
NC_002010.1,34612,14539,mitochondrion
NC_002012.1,7797,16738,mitochondrion
NC_002069.2,75140,16931,mitochondrion
NC_002073.3,8479,16866,mitochondrion
NC_002074.1,34632,14710,mitochondrion
NC_002078.1,9818,16816,mitochondrion
NC_002079.1,138676,16578,mitochondrion
NC_002080.2,9365,17447,mitochondrion
NC_002081.1,8049,16696,mitochondrion
NC_002082.1,9580,16472,mitochondrion
NC_002083.1,9601,16499,mitochondrion
NC_002174.1,47573,34119,mitochondrion
NC_002176.1,96460,14189,mitochondrion
NC_002177.1,7729,14771,mitochondrion
NC_002184.1,6687,15984,mitochondrion
NC_002186.1,41882,118360,photosynthetic plastid
NC_002196.1,52775,17622,mitochondrion
NC_002197.1,8928,17347,mitochondrion
NC_002202.1,3562,150725,photosynthetic plastid
NC_002235.1,5854,5966,mitochondrion
NC_002254.1,3088,42781,mitochondrion
NC_002322.1,93892,14017,mitochondrion
NC_002333.2,7955,16596,mitochondrion
NC_002354.2,34504,14965,mitochondrion
NC_002355.1,7091,15643,mitochondrion
NC_002369.1,55149,16507,mitochondrion
NC_002386.1,8255,17090,mitochondrion
NC_002387.1,4787,37957,mitochondrion
NC_002391.1,9375,16884,mitochondrion
NC_002471.1,8456,17005,mitochondrion
NC_002503.2,9755,16428,mitochondrion
NC_002504.1,30538,16652,mitochondrion
NC_002507.1,1423826,17211,mitochondrion
NC_002508.1,5791,62862,mitochondrion
NC_002521.1,37347,16754,mitochondrion
NC_002529.1,38744,14072,mitochondrion
NC_002544.1,6182,14085,mitochondrion
NC_002545.1,6183,14415,mitochondrion
NC_002546.1,6192,14462,mitochondrion
NC_002547.1,6207,13503,mitochondrion
NC_002553.1,136089,47328,mitochondrion
NC_002571.1,2986,41035,mitochondrion
NC_002572.1,3034,48063,mitochondrion
NC_002573.1,5762,49843,mitochondrion
NC_002574.1,48457,16436,mitochondrion
NC_002609.1,72491,17019,mitochondrion
NC_002612.1,126282,16705,mitochondrion
NC_002616.1,41697,16881,mitochondrion
NC_002619.1,94117,16741,mitochondrion
NC_002626.1,143942,16818,mitochondrion
NC_002629.1,7552,15695,mitochondrion
NC_002631.2,9371,16549,mitochondrion
NC_002639.1,7769,18909,mitochondrion
NC_002646.1,59291,16737,mitochondrion
NC_002647.1,91975,16418,mitochondrion
NC_002648.1,81385,16481,mitochondrion
