prompt_id,tax_group,n_correct,identity,aa_len,n_covered,scorable,full_length
AB071411.1_L1_donor_90_r0,Mosses,1,0.2295,412,11,True,False
AB159651.1_L1_donor_90_r0,Red algae,0,0.1053,131,0,False,False
AB540047.1_L1_donor_90_r0,Red algae,2,0.1495,342,9,False,False
AB540052.1_L1_donor_90_r0,Red algae,3,0.0905,119,0,False,False
AB853073.1_L1_donor_90_r0,Mosses,0,0.1811,169,0,False,False
AB853079.1_L1_donor_90_r0,Mosses,11,0.9137,477,11,True,True
AB970712.1_L1_donor_90_r0,Mosses,1,0.2147,433,11,True,False
AY858644.1_L1_donor_90_r0,Other angiosperms,11,0.9516,475,11,True,True
AY996366.1_L1_donor_90_r0,Brown algae,0,0.1011,153,0,False,False
EF547818.1_L1_donor_90_r0,Liverworts,11,0.9474,475,11,True,True
EU713367.1_L1_donor_90_r0,Eudicots,11,0.8863,475,11,True,True
FJ438476.1_L1_donor_90_r0,Green algae,2,0.1516,228,5,False,False
KT693213.1_L1_donor_90_r0,Green algae,1,0.1684,219,5,False,False
KU645801.1_L1_donor_90_r0,Eudicots,11,0.9495,475,11,True,True
KU645803.1_L1_donor_90_r0,Other angiosperms,11,0.9516,475,11,True,True
KU645804.1_L1_donor_90_r0,Other angiosperms,11,0.9474,475,11,True,True
LC060504.1_L1_donor_90_r0,Brown algae,0,0.1347,219,5,False,False
LC145073.1_L1_donor_90_r0,Liverworts,2,0.2505,337,9,False,False
LC200423.1_L1_donor_90_r0,Green algae,0,0.1158,134,0,False,False
LC270392.1_L1_donor_90_r0,Mosses,1,0.1053,119,0,False,False
LC376047.1_L1_donor_90_r0,Liverworts,11,0.9179,475,11,True,True
LC493039.1_L1_donor_90_r0,Brown algae,2,0.1558,304,7,False,False
LC723702.1_L1_donor_90_r0,Liverworts,11,0.9389,475,11,True,True
LC735540.1_L1_donor_90_r0,Eudicots,11,0.9453,475,11,True,True
LC791202.1_L1_donor_90_r0,Liverworts,1,0.2084,284,5,False,False
LC858738.1_L1_donor_90_r0,Liverworts,11,0.9095,475,11,True,True
LC858740.1_L1_donor_90_r0,Liverworts,11,0.9453,475,11,True,True
LC859596.1_L1_donor_90_r0,Liverworts,11,0.7179,484,11,True,True
LC899187.1_L1_donor_90_r0,Red algae,2,0.1032,150,0,False,False
LC924737.1_L1_donor_90_r0,Liverworts,11,0.9495,475,11,True,True
LC924778.1_L1_donor_90_r0,Liverworts,11,0.9474,485,11,True,True
LC924878.1_L1_donor_90_r0,Mosses,0,0.1874,230,5,False,False
LC924964.1_L1_donor_90_r0,Mosses,1,0.1074,118,0,False,False
MG251837.1_L1_donor_90_r0,Brown algae,1,0.0947,160,0,False,False
MH172437.1_L1_donor_90_r0,Conifers,11,0.9347,475,11,True,True
MH270460.1_L1_donor_90_r0,Other angiosperms,11,0.9558,475,11,True,True
MH390671.1_L1_donor_90_r0,Eudicots,11,0.9432,475,11,True,True
MH390672.1_L1_donor_90_r0,Eudicots,11,0.9453,475,11,True,True
MH616272.1_L1_donor_90_r0,Monocots,0,0.1158,113,0,False,False
MH661965.1_L1_donor_90_r0,Monocots,11,0.9284,486,11,True,True
MK295219.1_L1_donor_90_r0,Green algae,0,0.1432,150,0,False,False
MK295220.1_L1_donor_90_r0,Green algae,2,0.2084,407,11,True,False
MK806439.1_L1_donor_90_r0,Ferns,11,0.9474,475,11,True,True
MN030175.1_L1_donor_90_r0,Ferns,11,0.9411,475,11,True,True
MN601490.1_L1_donor_90_r0,Other angiosperms,11,0.9453,475,11,True,True
MN793055.1_L1_donor_90_r0,Other green,2,0.2253,380,11,True,False
MW267923.1_L1_donor_90_r0,Other green,0,0.1621,251,5,False,False
MW524049.1_L1_donor_90_r0,Ferns,0,0.3116,395,11,True,False
MZ133428.1_L1_donor_90_r0,Green algae,1,0.2189,457,11,True,False
MZ714562.1_L1_donor_90_r0,Eudicots,0,0.1011,107,0,False,False
OK588964.1_L1_donor_90_r0,Monocots,11,0.9432,475,11,True,True
OK588972.1_L1_donor_90_r0,Monocots,11,0.9389,475,11,True,True
OK588984.1_L1_donor_90_r0,Monocots,11,0.9200,479,11,True,True
OK588986.1_L1_donor_90_r0,Monocots,11,0.9453,475,11,True,True
OK588987.1_L1_donor_90_r0,Monocots,11,0.9453,475,11,True,True
OL504528.1_L1_donor_90_r0,Monocots,11,0.9537,475,11,True,True
ON568338.1_L1_donor_90_r0,Brown algae,2,0.1137,192,2,False,False
ON684489.1_L1_donor_90_r0,Conifers,11,0.9368,475,11,True,True
ON920851.1_L1_donor_90_r0,SAR/other protist,2,0.1621,325,7,False,False
ON933796.1_L1_donor_90_r0,Eudicots,11,0.9453,482,11,True,True
OP237580.1_L1_donor_90_r0,Eudicots,11,0.9389,477,11,True,True
OP330067.1_L1_donor_90_r0,Ferns,1,0.2442,328,8,False,False
OQ863300.1_L1_donor_90_r0,Red algae,1,0.1684,260,5,False,False
OQ863312.1_L1_donor_90_r0,Red algae,1,0.1495,225,5,False,False
OQ868456.1_L1_donor_90_r0,Ferns,11,0.9432,475,11,True,True
OR165438.1_L1_donor_90_r0,Monocots,11,0.9537,475,11,True,True
OR165493.1_L1_donor_90_r0,Monocots,11,0.9347,477,11,True,True
PP263658.1_L1_donor_90_r0,Eudicots,11,0.9558,482,11,True,True
PQ031122.1_L1_donor_90_r0,SAR/other protist,11,0.5726,487,11,True,True
PQ031131.1_L1_donor_90_r0,SAR/other protist,3,0.1663,444,11,True,False
PQ791840.1_L1_donor_90_r0,SAR/other protist,1,0.2274,499,11,True,True
PQ791846.1_L1_donor_90_r0,SAR/other protist,1,0.1263,193,2,False,False
PX743792.1_L1_donor_90_r0,Monocots,11,0.9284,479,11,True,True
PX743818.1_L1_donor_90_r0,Other angiosperms,11,0.9495,482,11,True,True
PX743828.1_L1_donor_90_r0,Other angiosperms,11,0.9558,482,11,True,True
PX743839.1_L1_donor_90_r0,Other angiosperms,11,0.9516,475,11,True,True
PX743843.1_L1_donor_90_r0,Other angiosperms,9,0.6000,491,11,True,True
PX743855.1_L1_donor_90_r0,Eudicots,11,0.9305,479,11,True,True
PX743950.1_L1_donor_90_r0,Eudicots,11,0.9495,475,11,True,True
PX743996.1_L1_donor_90_r0,Eudicots,11,0.9411,475,11,True,True
PX743998.1_L1_donor_90_r0,Eudicots,11,0.9495,475,11,True,True
PX744014.1_L1_donor_90_r0,Eudicots,11,0.9453,475,11,True,True
PX744022.1_L1_donor_90_r0,Eudicots,11,0.9411,475,11,True,True
PX744047.1_L1_donor_90_r0,Eudicots,11,0.9284,479,11,True,True
PX744060.1_L1_donor_90_r0,Eudicots,11,0.9284,479,11,True,True
PX744100.1_L1_donor_90_r0,Eudicots,6,0.6105,498,11,True,True
